Rank,County,State,County Effect on Household Income
1579,Morgan,Illinois,-0.20%
1580,Hillsdale,Michigan,-0.20%
1581,Osceola,Michigan,-0.20%
1582,Otsego,Michigan,-0.20%
1583,Genesee,New York,-0.30%
1584,Warren,Tennessee,-0.30%
1585,El Paso,Texas,-0.30%
1586,Douglas,Nebraska,-0.30%
1587,Winn,Louisiana,-0.30%
1588,Burlington,New Jersey,-0.30%
1589,Colfax,New Mexico,-0.30%
1590,Prince William,Virginia,-0.30%
1591,Bossier,Louisiana,-0.30%
1592,Trinity,Texas,-0.30%
1593,Scott,Iowa,-0.40%
1594,Houston,Georgia,-0.40%
1595,Bay,Florida,-0.40%
1596,Yamhill,Oregon,-0.40%
1597,Hocking,Ohio,-0.40%
1598,Gordon,Georgia,-0.40%
1599,Hot Spring,Arkansas,-0.40%
1600,Lauderdale,Alabama,-0.40%
1601,Antrim,Michigan,-0.40%
1602,Christian,Kentucky,-0.40%
1603,Baker,Florida,-0.40%
1604,Morgan,Alabama,-0.40%
1605,Cheatham,Tennessee,-0.40%
1606,Dawson,Georgia,-0.40%
1607,Orleans,New York,-0.50%
1608,Oakland,Michigan,-0.50%
1609,Grays Harbor,Washington,-0.50%
1610,Lenawee,Michigan,-0.50%
1611,Washington,Missouri,-0.50%
1612,McKean,Pennsylvania,-0.50%
1613,Giles,Tennessee,-0.50%
1614,Sacramento,California,-0.60%
1615,Dade,Florida,-0.60%
1616,Cortland,New York,-0.60%
1617,Waynesboro City,Virginia,-0.60%
1618,Buchanan,Missouri,-0.60%
1619,Wexford,Michigan,-0.60%
1620,Hart,Kentucky,-0.60%
1621,Campbell,Virginia,-0.60%
1622,St Mary,Louisiana,-0.60%
1623,Henrico,Virginia,-0.70%
1624,Canyon,Idaho,-0.70%
1625,Mohave,Arizona,-0.70%
1626,Nassau,New York,-0.70%
1627,Wayne,Mississippi,-0.70%
1628,Lincoln,Maine,-0.70%
1629,McCreary,Kentucky,-0.70%
1630,Rock Island,Illinois,-0.70%
1631,Graham,Arizona,-0.70%
1632,Lawrence,Ohio,-0.70%
1633,Harrison,Mississippi,-0.70%
1634,Harris,Texas,-0.70%
1635,Ada,Idaho,-0.70%
1636,Roberts,South Dakota,-0.70%
1637,Cass,Minnesota,-0.70%
1638,Pike,Georgia,-0.80%
1639,Onondaga,New York,-0.80%
1640,Franklin,New York,-0.80%
1641,Columbia,Georgia,-0.80%
1642,Albemarle,Virginia,-0.80%
1643,Catoosa,Georgia,-0.80%
1644,Loudon,Tennessee,-0.80%
1645,Dunklin,Missouri,-0.80%
1646,Willacy,Texas,-0.80%
1647,Cherokee,North Carolina,-0.80%
1648,Cowlitz,Washington,-0.80%
1649,Luzerne,Pennsylvania,-0.80%
1650,Jefferson,Ohio,-0.90%
1651,Gallia,Ohio,-0.90%
1652,Henry,Indiana,-0.90%
1653,Nevada,California,-0.90%
1654,Madison,Illinois,-0.90%
1655,Mitchell,North Carolina,-0.90%
1656,Escambia,Alabama,-0.90%
1657,Wayne,Kentucky,-0.90%
1658,Fluvanna,Virginia,-0.90%
1659,Franklin,Virginia,-1.00%
1660,Dutchess,New York,-1.00%
1661,Vermilion,Illinois,-1.00%
1662,Madera,California,-1.00%
1663,Champaign,Illinois,-1.00%
1664,Jackson,Louisiana,-1.00%
1665,Blair,Pennsylvania,-1.00%
1666,Lackawanna,Pennsylvania,-1.00%
1667,Geary,Kansas,-1.10%
1668,Hopkins,Kentucky,-1.10%
1669,Wilson,Tennessee,-1.10%
1670,Sawyer,Wisconsin,-1.10%
1671,Pickens,Georgia,-1.10%
1672,Coffee,Tennessee,-1.10%
1673,Washington,New York,-1.10%
1674,Prentiss,Mississippi,-1.10%
1675,Cherokee,Alabama,-1.20%
1676,West Feliciana,Louisiana,-1.20%
1677,Estill,Kentucky,-1.20%
1678,Elmore,Alabama,-1.20%
1679,Tehama,California,-1.20%
1680,Columbia,Florida,-1.20%
1681,Red River,Texas,-1.30%
1682,Clermont,Ohio,-1.30%
1683,Clark,Indiana,-1.30%
1684,Gates,North Carolina,-1.30%
1685,Covington,Mississippi,-1.30%
1686,Pickaway,Ohio,-1.30%
1687,McLean,Illinois,-1.30%
1688,Bradley,Arkansas,-1.30%
1689,Jackson,Florida,-1.30%
1690,Salem,New Jersey,-1.30%
1691,Marion,Mississippi,-1.30%
1692,Franklin,Tennessee,-1.30%
1693,Rio Arriba,New Mexico,-1.30%
1694,Van Buren,Michigan,-1.40%
1695,Harrison,West Virginia,-1.40%
1696,Desoto,Florida,-1.40%
1697,Tulsa,Oklahoma,-1.40%
1698,Jackson,Arkansas,-1.40%
1699,Lincoln,Arkansas,-1.40%
1700,Dukes,Massachusetts,-1.40%
1701,Henderson,Kentucky,-1.40%
1702,St Clair,Alabama,-1.40%
1703,Sedgwick,Kansas,-1.40%
1704,Kanawha,West Virginia,-1.50%
1705,Essex,Massachusetts,-1.50%
1706,Ontario,New York,-1.50%
1707,Alpena,Michigan,-1.50%
1708,Erie,Pennsylvania,-1.50%
1709,St Charles,Louisiana,-1.50%
1710,Kalkaska,Michigan,-1.50%
1711,Santa Rosa,Florida,-1.50%
1712,Marion,Missouri,-1.50%
1713,Butler,Missouri,-1.50%
1714,Niagara,New York,-1.50%
1715,Randolph,Missouri,-1.50%
1716,Lake,Montana,-1.50%
1717,Pittsylvania,Virginia,-1.50%
1718,Campbell,Tennessee,-1.60%
1719,Dorchester,South Carolina,-1.60%
1720,Virginia Beach City,Virginia,-1.60%
1721,Litchfield,Connecticut,-1.60%
1722,Claiborne,Tennessee,-1.60%
1723,San Benito,California,-1.60%
1724,Calaveras,California,-1.60%
1725,Franklin,Georgia,-1.60%
1726,Boyle,Kentucky,-1.60%
1727,Haralson,Georgia,-1.60%
1728,Lawrence,Mississippi,-1.70%
1729,Bienville,Louisiana,-1.70%
1730,James City,Virginia,-1.70%
1731,Robertson,Tennessee,-1.70%
1732,Hancock,Maine,-1.80%
1733,Zavala,Texas,-1.80%
1734,Ashtabula,Ohio,-1.80%
1735,Berkshire,Massachusetts,-1.80%
1736,Taos,New Mexico,-1.80%
1737,Marion,Illinois,-1.80%
1738,Knox,Illinois,-1.80%
1739,Appling,Georgia,-1.80%
1740,Lake,Illinois,-1.80%
1741,Marion,Ohio,-1.80%
1742,Richland,Ohio,-1.80%
1743,Alachua,Florida,-1.80%
1744,Cass,Michigan,-1.80%
1745,Wakulla,Florida,-1.80%
1746,Navarro,Texas,-1.90%
1747,Kaufman,Texas,-1.90%
1748,Harford,Maryland,-1.90%
1749,Louisa,Virginia,-1.90%
1750,Benton,Oregon,-1.90%
1751,Oxford,Maine,-1.90%
1752,Shelby,Indiana,-1.90%
1753,Hill,Montana,-2.00%
1754,Amite,Mississippi,-2.00%
1755,Warren,New York,-2.00%
1756,Hendry,Florida,-2.00%
1757,Marshall,Alabama,-2.00%
1758,Grimes,Texas,-2.00%
1759,Jackson,Georgia,-2.10%
1760,Allegheny,Pennsylvania,-2.10%
1761,Summit,Ohio,-2.10%
1762,Cheboygan,Michigan,-2.10%
1763,Levy,Florida,-2.10%
1764,Franklin,Ohio,-2.10%
1765,Polk,Iowa,-2.20%
1766,Howard,Arkansas,-2.20%
1767,Gloucester,New Jersey,-2.20%
1768,King George,Virginia,-2.20%
1769,Lane,Oregon,-2.20%
1770,Walton,Florida,-2.20%
1771,Potter,Texas,-2.20%
1772,Smyth,Virginia,-2.20%
1773,Adair,Oklahoma,-2.20%
1774,Craighead,Arkansas,-2.20%
1775,Rockland,New York,-2.30%
1776,Talladega,Alabama,-2.30%
1777,Luna,New Mexico,-2.30%
1778,Westchester,New York,-2.30%
1779,Lorain,Ohio,-2.30%
1780,Lincoln,Mississippi,-2.30%
1781,Henry,Tennessee,-2.30%
1782,Clarke,Alabama,-2.30%
1783,Waldo,Maine,-2.30%
1784,Chittenden,Vermont,-2.30%
1785,Marquette,Michigan,-2.30%
1786,Lake,Florida,-2.40%
1787,Carter,Tennessee,-2.40%
1788,Poinsett,Arkansas,-2.40%
1789,Rabun,Georgia,-2.40%
1790,Blount,Tennessee,-2.40%
1791,Nevada,Arkansas,-2.40%
1792,St Louis,Missouri,-2.40%
1793,Guadalupe,Texas,-2.40%
1794,Walthall,Mississippi,-2.40%
1795,Crawford,Ohio,-2.40%
1796,Tom Green,Texas,-2.40%
1797,Hunt,Texas,-2.40%
1798,Union,Florida,-2.50%
1799,Queens,New York,-2.50%
1800,Greene,Virginia,-2.50%
1801,Kings,California,-2.50%
1802,Obion,Tennessee,-2.60%
1803,Delaware,Ohio,-2.60%
1804,Osceola,Florida,-2.60%
1805,Beltrami,Minnesota,-2.60%
1806,Sevier,Tennessee,-2.60%
1807,Lubbock,Texas,-2.60%
1808,Santa Fe,New Mexico,-2.60%
1809,Fannin,Georgia,-2.60%
1810,Arkansas,Arkansas,-2.70%
1811,San Miguel,New Mexico,-2.70%
1812,Camden,Georgia,-2.70%
1813,Montgomery,Kentucky,-2.80%
1814,Cross,Arkansas,-2.80%
1815,Monroe,Tennessee,-2.80%
1816,Kootenai,Idaho,-2.80%
1817,Franklin,Louisiana,-2.80%
1818,St Martin,Louisiana,-2.80%
1819,Powell,Kentucky,-2.80%
1820,Wood,West Virginia,-2.80%
1821,Union,Louisiana,-2.80%
1822,Lamar,Texas,-2.90%
1823,Hillsborough,New Hampshire,-2.90%
1824,Cuyahoga,Ohio,-2.90%
1825,Philadelphia,Pennsylvania,-2.90%
1826,Bay,Michigan,-2.90%
1827,Kent,Maryland,-2.90%
1828,Lehigh,Pennsylvania,-2.90%
1829,Houston,Alabama,-2.90%
1830,Shelby,Kentucky,-2.90%
1831,Merced,California,-2.90%
1832,Johnson,Tennessee,-2.90%
1833,Mason,Michigan,-3.00%
1834,Vilas,Wisconsin,-3.00%
1835,Brantley,Georgia,-3.00%
1836,Garland,Arkansas,-3.00%
1837,Crockett,Tennessee,-3.00%
1838,Goochland,Virginia,-3.00%
1839,Schenectady,New York,-3.00%
1840,Humboldt,California,-3.00%
1841,Madison,Kentucky,-3.00%
1842,Simpson,Mississippi,-3.00%
1843,Columbia,New York,-3.00%
1844,Montgomery,Texas,-3.10%
1845,Ingham,Michigan,-3.10%
1846,Chattooga,Georgia,-3.10%
1847,Hamilton,Ohio,-3.10%
1848,York,South Carolina,-3.10%
1849,Cabell,West Virginia,-3.10%
1850,Somerset,Maryland,-3.20%
1851,Gregg,Texas,-3.20%
1852,Hampden,Massachusetts,-3.20%
1853,Orange,California,-3.20%
1854,Newton,Mississippi,-3.20%
1855,St James,Louisiana,-3.20%
1856,Falls,Texas,-3.20%
1857,Humphreys,Tennessee,-3.20%
1858,Mecosta,Michigan,-3.20%
1859,Suffolk,Massachusetts,-3.20%
1860,Culpeper,Virginia,-3.20%
1861,Jones,North Carolina,-3.20%
1862,Choctaw,Alabama,-3.20%
1863,Madison,Georgia,-3.30%
1864,Montcalm,Michigan,-3.30%
1865,Roane,Tennessee,-3.30%
1866,Clarke,Mississippi,-3.30%
1867,Bell,Kentucky,-3.30%
1868,Coshocton,Ohio,-3.30%
1869,Randolph,Alabama,-3.30%
1870,Pike,Ohio,-3.40%
1871,Belknap,New Hampshire,-3.40%
1872,Carroll,Georgia,-3.40%
1873,Stephens,Georgia,-3.40%
1874,Ulster,New York,-3.40%
1875,Isabella,Michigan,-3.40%
1876,Baldwin,Alabama,-3.40%
1877,Polk,North Carolina,-3.40%
1878,Dona Ana,New Mexico,-3.50%
1879,Erie,Ohio,-3.50%
1880,Lapeer,Michigan,-3.50%
1881,Anderson,South Carolina,-3.50%
1882,Knox,Maine,-3.50%
1883,Wilkes,North Carolina,-3.50%
1884,Jefferson,Kentucky,-3.50%
1885,Dinwiddie,Virginia,-3.60%
1886,Walker,Texas,-3.60%
1887,Abbeville,South Carolina,-3.60%
1888,Scott,Indiana,-3.60%
1889,Bradley,Tennessee,-3.60%
1890,Whitfield,Georgia,-3.60%
1891,Otero,New Mexico,-3.60%
1892,Butte,California,-3.60%
1893,Pemiscot,Missouri,-3.60%
1894,Jackson,Oregon,-3.60%
1895,Staunton City,Virginia,-3.60%
1896,Houston,Texas,-3.70%
1897,Fayette,Ohio,-3.70%
1898,Jeff Davis,Georgia,-3.70%
1899,Imperial,California,-3.70%
1900,Stark,Ohio,-3.80%
1901,Broward,Florida,-3.80%
1902,Franklin,Kentucky,-3.80%
1903,Mercer,West Virginia,-3.80%
1904,Dyer,Tennessee,-3.80%
1905,Grundy,Tennessee,-3.80%
1906,Jasper,Mississippi,-3.80%
1907,Valencia,New Mexico,-3.90%
1908,Greene,Tennessee,-3.90%
1909,Flagler,Florida,-3.90%
1910,Chatham,North Carolina,-3.90%
1911,San Joaquin,California,-3.90%
1912,Bibb,Alabama,-3.90%
1913,St Clair,Illinois,-3.90%
1914,Bowie,Texas,-3.90%
1915,Worcester,Maryland,-4.00%
1916,Lake,Indiana,-4.00%
1917,Rankin,Mississippi,-4.00%
1918,Coconino,Arizona,-4.00%
1919,Scioto,Ohio,-4.00%
1920,Sumter,Florida,-4.00%
1921,Chatham,Georgia,-4.00%
1922,Bartow,Georgia,-4.00%
1923,Hancock,West Virginia,-4.10%
1924,Concordia,Louisiana,-4.10%
1925,Charlton,Georgia,-4.10%
1926,Franklin,Mississippi,-4.10%
1927,Victoria,Texas,-4.10%
1928,Hawkins,Tennessee,-4.10%
1929,Berkeley,South Carolina,-4.10%
1930,Jessamine,Kentucky,-4.20%
1931,Spartanburg,South Carolina,-4.20%
1932,Wayne,Indiana,-4.20%
1933,Pike,Alabama,-4.20%
1934,Etowah,Alabama,-4.20%
1935,De Soto,Louisiana,-4.20%
1936,Warren,Kentucky,-4.20%
1937,New Madrid,Missouri,-4.20%
1938,Grant,New Mexico,-4.30%
1939,McDowell,North Carolina,-4.30%
1940,Pender,North Carolina,-4.30%
1941,Indian River,Florida,-4.30%
1942,Pasco,Florida,-4.30%
1943,Muskogee,Oklahoma,-4.30%
1944,Calhoun,Alabama,-4.30%
1945,Bradford,Florida,-4.30%
1946,Carteret,North Carolina,-4.30%
1947,Hampton City,Virginia,-4.40%
1948,Talbot,Maryland,-4.40%
1949,Shiawassee,Michigan,-4.40%
1950,Bedford,Tennessee,-4.40%
1951,Ashley,Arkansas,-4.40%
1952,Pearl River,Mississippi,-4.40%
1953,Bedford City,Virginia,-4.40%
1954,Murray,Georgia,-4.40%
1955,Baltimore,Maryland,-4.40%
1956,Union,Arkansas,-4.40%
1957,Fayette,Pennsylvania,-4.40%
1958,Bristol City,Virginia,-4.50%
1959,Onslow,North Carolina,-4.50%
1960,Socorro,New Mexico,-4.50%
1961,Washington,Texas,-4.50%
1962,Jackson,Ohio,-4.50%
1963,Monroe,Mississippi,-4.60%
1964,Webb,Texas,-4.60%
1965,Jackson,Missouri,-4.60%
1966,Fayette,Indiana,-4.60%
1967,McCracken,Kentucky,-4.60%
1968,Manatee,Florida,-4.60%
1969,Washington,Louisiana,-4.60%
1970,Cape May,New Jersey,-4.60%
1971,Hidalgo,Texas,-4.60%
1972,Telfair,Georgia,-4.70%
1973,DeKalb,Georgia,-4.70%
1974,Douglas,Georgia,-4.80%
1975,Walton,Georgia,-4.80%
1976,Essex,Virginia,-4.80%
1977,Trinity,California,-4.80%
1978,Ross,Ohio,-4.80%
1979,Iosco,Michigan,-4.80%
1980,Henry,Virginia,-4.80%
1981,Miller,Arkansas,-4.80%
1982,Westmoreland,Virginia,-4.80%
1983,Southampton,Virginia,-4.90%
1984,Montgomery,Mississippi,-4.90%
1985,Johnston,North Carolina,-4.90%
1986,Bell,Texas,-4.90%
1987,Alcorn,Mississippi,-4.90%
1988,Clay,Kentucky,-4.90%
1989,Pueblo,Colorado,-4.90%
1990,Kent,Michigan,-4.90%
1991,Mason,Kentucky,-4.90%
1992,Vigo,Indiana,-5.00%
1993,Wayne,Georgia,-5.00%
1994,Scott,Kentucky,-5.00%
1995,Washington,Tennessee,-5.00%
1996,Wilkinson,Mississippi,-5.00%
1997,Harris,Georgia,-5.00%
1998,Roscommon,Michigan,-5.00%
1999,Mississippi,Missouri,-5.10%
2000,Carroll,Mississippi,-5.10%
2001,Drew,Arkansas,-5.10%
2002,Ashe,North Carolina,-5.10%
2003,Colleton,South Carolina,-5.10%
2004,Bristol,Massachusetts,-5.10%
2005,Nash,North Carolina,-5.10%
2006,Dallas,Texas,-5.10%
2007,West Baton Rouge,Louisiana,-5.10%
2008,Emanuel,Georgia,-5.20%
2009,Dodge,Georgia,-5.20%
2010,Pickens,South Carolina,-5.20%
2011,Webster,Mississippi,-5.20%
2012,Fayette,Kentucky,-5.20%
2013,Charlevoix,Michigan,-5.20%
2014,Pickens,Alabama,-5.20%
2015,Red River,Louisiana,-5.20%
2016,Iberville,Louisiana,-5.20%
2017,Kershaw,South Carolina,-5.20%
2018,Caroline,Maryland,-5.20%
2019,Peach,Georgia,-5.30%
2020,Florence,South Carolina,-5.30%
2021,Putnam,Florida,-5.30%
2022,Henry,Alabama,-5.30%
2023,Monroe,Arkansas,-5.30%
2024,Sussex,Virginia,-5.30%
2025,Greene,Ohio,-5.30%
2026,Hernando,Florida,-5.40%
2027,Avoyelles,Louisiana,-5.40%
2028,Lancaster,Virginia,-5.40%
2029,Nottoway,Virginia,-5.40%
2030,Kalamazoo,Michigan,-5.40%
2031,Ware,Georgia,-5.40%
2032,Martin,Florida,-5.40%
2033,Crawford,Michigan,-5.40%
2034,Brunswick,Virginia,-5.40%
2035,Clark,Ohio,-5.50%
2036,Tangipahoa,Louisiana,-5.50%
2037,Lee,Georgia,-5.50%
2038,Ouachita,Louisiana,-5.50%
2039,Shawnee,Kansas,-5.50%
2040,Hancock,Mississippi,-5.50%
2041,Hays,Texas,-5.50%
2042,Sampson,North Carolina,-5.50%
2043,Caldwell,Texas,-5.60%
2044,Lincoln,Oregon,-5.60%
2045,Breathitt,Kentucky,-5.60%
2046,Pointe Coupee,Louisiana,-5.60%
2047,Oklahoma,Oklahoma,-5.60%
2048,White,Tennessee,-5.60%
2049,Craven,North Carolina,-5.60%
2050,Alameda,California,-5.60%
2051,Hamblen,Tennessee,-5.60%
2052,Boone,Missouri,-5.70%
2053,St Tammany,Louisiana,-5.70%
2054,Rowan,Kentucky,-5.70%
2055,Montgomery,North Carolina,-5.70%
2056,Brevard,Florida,-5.70%
2057,Douglas,Oregon,-5.80%
2058,Hawaii,Hawaii,-5.80%
2059,Vanderburgh,Indiana,-5.80%
2060,Kings,New York,-5.80%
2061,Marion,Florida,-5.80%
2062,Grady,Georgia,-5.80%
2063,Claiborne,Louisiana,-5.80%
2064,Mecklenburg,Virginia,-5.80%
2065,Mobile,Alabama,-5.80%
2066,Bertie,North Carolina,-5.90%
2067,Hart,Georgia,-5.90%
2068,Jones,Georgia,-5.90%
2069,Polk,Georgia,-5.90%
2070,Tulare,California,-5.90%
2071,Berrien,Georgia,-6.00%
2072,Chemung,New York,-6.00%
2073,Cocke,Tennessee,-6.00%
2074,Autauga,Alabama,-6.00%
2075,Gwinnett,Georgia,-6.00%
2076,Lee,Mississippi,-6.00%
2077,Taylor,Florida,-6.10%
2078,Camden,New Jersey,-6.10%
2079,Jackson,Illinois,-6.10%
2080,Jackson,Mississippi,-6.10%
2081,St Lucie,Florida,-6.10%
2082,St Francis,Arkansas,-6.10%
2083,Dauphin,Pennsylvania,-6.10%
2084,Lenoir,North Carolina,-6.10%
2085,Montgomery,Alabama,-6.20%
2086,Chesapeake City,Virginia,-6.20%
2087,Dare,North Carolina,-6.20%
2088,El Paso,Colorado,-6.20%
2089,Darlington,South Carolina,-6.20%
2090,Humphreys,Mississippi,-6.20%
2091,Trigg,Kentucky,-6.20%
2092,Boyd,Kentucky,-6.20%
2093,Clayton,Georgia,-6.30%
2094,Mississippi,Arkansas,-6.30%
2095,Racine,Wisconsin,-6.30%
2096,Transylvania,North Carolina,-6.40%
2097,Walker,Georgia,-6.40%
2098,Limestone,Alabama,-6.50%
2099,Saluda,South Carolina,-6.50%
2100,Allen,Indiana,-6.50%
2101,Hamilton,Florida,-6.50%
2102,Sullivan,Tennessee,-6.60%
2103,St Bernard,Louisiana,-6.60%
2104,Cabarrus,North Carolina,-6.60%
2105,Washington,Maine,-6.60%
2106,Buckingham,Virginia,-6.60%
2107,Lucas,Ohio,-6.60%
2108,Lincoln,North Carolina,-6.60%
2109,Bourbon,Kentucky,-6.70%
2110,Hopewell City,Virginia,-6.70%
2111,Jefferson,West Virginia,-6.70%
2112,Lunenburg,Virginia,-6.70%
2113,McLennan,Texas,-6.70%
2114,Wyandotte,Kansas,-6.80%
2115,Marshall,Mississippi,-6.80%
2116,Shelby,Alabama,-6.80%
2117,Allen,Ohio,-6.80%
2118,Cibola,New Mexico,-6.80%
2119,Wicomico,Maryland,-6.80%
2120,Perquimans,North Carolina,-6.80%
2121,Caroline,Virginia,-6.90%
2122,La Paz,Arizona,-6.90%
2123,Cobb,Georgia,-6.90%
2124,East Feliciana,Louisiana,-6.90%
2125,Colbert,Alabama,-7.00%
2126,Cook,Georgia,-7.00%
2127,Rapides,Louisiana,-7.00%
2128,Granville,North Carolina,-7.00%
2129,Caldwell,North Carolina,-7.00%
2130,Maury,Tennessee,-7.10%
2131,Livingston,Michigan,-7.10%
2132,Bexar,Texas,-7.10%
2133,Kenton,Kentucky,-7.10%
2134,Hardeman,Tennessee,-7.10%
2135,Liberty,Georgia,-7.10%
2136,Burke,North Carolina,-7.20%
2137,Iberia,Louisiana,-7.20%
2138,Knox,Tennessee,-7.20%
2139,Greene,North Carolina,-7.20%
2140,Kenosha,Wisconsin,-7.20%
2141,Ben Hill,Georgia,-7.20%
2142,Beaufort,North Carolina,-7.20%
2143,Broome,New York,-7.30%
2144,Lafayette,Louisiana,-7.30%
2145,Seminole,Florida,-7.30%
2146,Williamsburg,South Carolina,-7.30%
2147,Appomattox,Virginia,-7.30%
2148,Clark,Kentucky,-7.30%
2149,Leon,Florida,-7.40%
2150,Ouachita,Arkansas,-7.40%
2151,Butler,Alabama,-7.50%
2152,Decatur,Georgia,-7.50%
2153,Hempstead,Arkansas,-7.50%
2154,Macon,Illinois,-7.50%
2155,Monroe,Alabama,-7.50%
2156,Howard,Indiana,-7.50%
2157,Greenwood,South Carolina,-7.50%
2158,Travis,Texas,-7.50%
2159,Sangamon,Illinois,-7.50%
2160,Harnett,North Carolina,-7.50%
2161,Attala,Mississippi,-7.60%
2162,Jasper,Georgia,-7.60%
2163,Bernalillo,New Mexico,-7.60%
2164,LaPorte,Indiana,-7.60%
2165,Halifax,Virginia,-7.60%
2166,Prince Edward,Virginia,-7.60%
2167,Lee,North Carolina,-7.70%
2168,Taylor,Georgia,-7.70%
2169,Columbus,North Carolina,-7.70%
2170,Clarendon,South Carolina,-7.70%
2171,Brazos,Texas,-7.70%
2172,Tallapoosa,Alabama,-7.70%
2173,Rutherford,North Carolina,-7.70%
2174,Davidson,Tennessee,-7.80%
2175,Upson,Georgia,-7.80%
2176,Gila,Arizona,-7.80%
2177,Grant,Indiana,-7.90%
2178,Union,North Carolina,-7.90%
2179,Pulaski,Virginia,-7.90%
2180,Polk,Florida,-7.90%
2181,Elbert,Georgia,-7.90%
2182,St Johns,Florida,-8.00%
2183,Calhoun,Michigan,-8.00%
2184,Turner,Georgia,-8.00%
2185,Gibson,Tennessee,-8.10%
2186,Coweta,Georgia,-8.10%
2187,Pitt,North Carolina,-8.10%
2188,Tuscaloosa,Alabama,-8.10%
2189,Jackson,Michigan,-8.20%
2190,Toombs,Georgia,-8.20%
2191,Person,North Carolina,-8.20%
2192,Calhoun,Mississippi,-8.20%
2193,Madison,Florida,-8.20%
2194,Catawba,North Carolina,-8.30%
2195,Conecuh,Alabama,-8.30%
2196,Lafayette,Mississippi,-8.30%
2197,Lexington,South Carolina,-8.30%
2198,Natchitoches,Louisiana,-8.30%
2199,Bulloch,Georgia,-8.30%
2200,Butts,Georgia,-8.30%
2201,Fairfield,Connecticut,-8.30%
2202,Berkeley,West Virginia,-8.30%
2203,New Haven,Connecticut,-8.40%
2204,Athens,Ohio,-8.40%
2205,Lowndes,Alabama,-8.50%
2206,Coffee,Georgia,-8.50%
2207,Thomas,Georgia,-8.50%
2208,Adams,Mississippi,-8.50%
2209,Dooly,Georgia,-8.50%
2210,Peoria,Illinois,-8.50%
2211,Roosevelt,Montana,-8.60%
2212,Dorchester,Maryland,-8.60%
2213,Hampton,South Carolina,-8.60%
2214,Jenkins,Georgia,-8.60%
2215,Essex,New Jersey,-8.60%
2216,Newport News City,Virginia,-8.70%
2217,Accomack,Virginia,-8.70%
2218,Martin,North Carolina,-8.70%
2219,Madison,Indiana,-8.70%
2220,Moore,North Carolina,-8.70%
2221,Del Norte,California,-8.70%
2222,New Castle,Delaware,-8.80%
2223,Trumbull,Ohio,-8.80%
2224,Bladen,North Carolina,-8.80%
2225,Jasper,South Carolina,-8.80%
2226,Worth,Georgia,-8.80%
2227,Winnebago,Illinois,-8.80%
2228,Desha,Arkansas,-8.90%
2229,Chambers,Alabama,-8.90%
2230,Sarasota,Florida,-8.90%
2231,Mendocino,California,-8.90%
2232,Iredell,North Carolina,-8.90%
2233,Montgomery,Ohio,-8.90%
2234,San Bernardino,California,-9.00%
2235,Tate,Mississippi,-9.00%
2236,Charleston,South Carolina,-9.00%
2237,Monroe,New York,-9.10%
2238,Caswell,North Carolina,-9.20%
2239,Jefferson Davis,Mississippi,-9.20%
2240,Barnwell,South Carolina,-9.20%
2241,Kent,Delaware,-9.20%
2242,Barrow,Georgia,-9.20%
2243,Caddo,Louisiana,-9.30%
2244,Pasquotank,North Carolina,-9.30%
2245,Cherokee,Georgia,-9.30%
2246,Wilkes,Georgia,-9.30%
2247,Hale,Alabama,-9.30%
2248,Lamar,Georgia,-9.40%
2249,Orange,New York,-9.40%
2250,Newberry,South Carolina,-9.40%
2251,Calhoun,South Carolina,-9.40%
2252,Hamilton,Tennessee,-9.40%
2253,Laurens,South Carolina,-9.50%
2254,Evans,Georgia,-9.50%
2255,Jefferson,Arkansas,-9.50%
2256,Chesterfield,South Carolina,-9.50%
2257,Edgecombe,North Carolina,-9.50%
2258,Chickasaw,Mississippi,-9.50%
2259,Warren,North Carolina,-9.50%
2260,Shelby,Tennessee,-9.60%
2261,Saginaw,Michigan,-9.60%
2262,Brooks,Georgia,-9.60%
2263,Orangeburg,South Carolina,-9.60%
2264,Scott,Mississippi,-9.60%
2265,Marengo,Alabama,-9.60%
2266,Oconee,South Carolina,-9.60%
2267,Tattnall,Georgia,-9.70%
2268,Richland,Louisiana,-9.70%
2269,Dallas,Arkansas,-9.70%
2270,Pike,Mississippi,-9.80%
2271,Richmond,New York,-9.90%
2272,Columbia,Arkansas,-9.90%
2273,Rockingham,North Carolina,-9.90%
2274,Delaware,Indiana,-9.90%
2275,Suffolk City,Virginia,-9.90%
2276,Lincoln,Louisiana,-10.00%
2277,Washtenaw,Michigan,-10.10%
2278,Bleckley,Georgia,-10.10%
2279,Jefferson,Alabama,-10.10%
2280,Hertford,North Carolina,-10.20%
2281,Orange,North Carolina,-10.20%
2282,Beaufort,South Carolina,-10.20%
2283,Screven,Georgia,-10.30%
2284,Fayette,Tennessee,-10.40%
2285,Pinal,Arizona,-10.40%
2286,Muskegon,Michigan,-10.40%
2287,Chester,South Carolina,-10.40%
2288,Mahoning,Ohio,-10.50%
2289,Franklin,North Carolina,-10.50%
2290,Lowndes,Georgia,-10.50%
2291,Colquitt,Georgia,-10.50%
2292,Alamance,North Carolina,-10.60%
2293,Lee,Alabama,-10.60%
2294,Davidson,North Carolina,-10.60%
2295,Troup,Georgia,-10.60%
2296,Sumter,South Carolina,-10.60%
2297,Los Angeles,California,-10.60%
2298,Jefferson,Florida,-10.70%
2299,Pulaski,Georgia,-10.70%
2300,Lynchburg City,Virginia,-10.80%
